Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00071556,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Sports,Playground construction,7800000,2025-08-25,2026-02-06,2026-01-30,V014808,Completed
P00071557,MP0066,Tamil Nadu,CHENNAI-1,Electricity,Solar lighting installation,4640000,2025-01-23,2025-08-19,2025-08-09,V047151,Completed
P00071558,MP0041,Maharashtra,LATUR-3,Sanitation,Drainage improvement,6300000,2025-07-24,2026-03-01,2026-02-03,V006962,Completed
P00071559,MP0027,Bihar,MUZAFFARPUR-5,Road,Rural connectivity road,3650000,2025-08-15,2026-02-22,2026-02-02,V019549,Completed
P00071560,MP0076,Karnataka,KALABURAGI-2,Education,School infrastructure improvement,8620000,2025-04-27,2025-10-10,2025-10-01,V040031,Completed
P00071561,MP0005,Bihar,MUZAFFARPUR-5,Education,School classroom construction,7190000,2025-07-10,2026-03-03,,V003711,Ongoing
P00071562,MP0005,Bihar,MUZAFFARPUR-5,Community Development,Village development work,6090000,2025-03-16,2025-11-10,2025-10-17,V014283,Completed
P00071563,MP0086,Bihar,MUZAFFARPUR-3,Healthcare,Health centre infrastructure,980000,2025-04-18,2025-08-18,2025-07-29,V040578,Completed
P00071564,MP0013,Uttar Pradesh,LUCKNOW-5,Healthcare,Medical equipment purchase,5920000,2025-06-21,2026-01-18,2026-01-03,V002228,Completed
P00071565,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Community Development,Village development work,1140000,2025-07-09,2026-01-09,2026-05-25,V009439,Completed
P00071566,MP0090,Tamil Nadu,COIMBATORE-1,Education,School laboratory development,3900000,2025-08-21,2026-02-27,2026-05-21,V013592,Delayed
P00071567,MP0009,Madhya Pradesh,INDORE-2,Community Development,Public facility development,5550000,2025-02-15,2025-08-07,,V015499,Ongoing
P00071568,MP0048,Bihar,AURANGABAD-4,Education,School infrastructure improvement,1040000,2025-03-25,2025-09-12,2025-08-15,V018607,Completed
P00071569,MP0032,Karnataka,MYSURU-4,Road,Internal road development,4680000,2025-01-31,2025-09-03,2025-08-27,V047052,Completed
P00071570,MP0083,Gujarat,VADODARA-4,Community Development,Public facility development,2750000,2025-04-10,2025-12-14,2025-11-16,V007104,Completed
P00071571,MP0036,Gujarat,RAJKOT-1,Agriculture,Agricultural storage facility,8070000,2025-01-24,2025-06-09,,V012732,Ongoing
P00071572,MP0092,Tamil Nadu,MADURAI-3,Agriculture,Irrigation development,5490000,2025-03-23,2025-08-21,2025-08-20,V015448,Completed
P00071573,MP0015,Karnataka,BELAGAVI-2,Sports,Sports ground development,5750000,2025-01-27,2025-06-29,2025-06-28,V043562,Completed
P00071574,MP0009,Madhya Pradesh,INDORE-2,Water Supply,Water supply improvement,7320000,2025-04-02,2025-11-02,2025-10-29,V041379,Completed
P00071575,MP0016,Karnataka,KALABURAGI-2,Community Development,Community hall construction,7840000,2025-01-15,2025-10-02,2025-09-08,V009852,Completed
P00071576,MP0006,Tamil Nadu,MADURAI-5,Community Development,Community hall construction,2510000,2025-03-04,2025-07-18,2025-07-15,V036551,Completed
P00071577,MP0072,Madhya Pradesh,INDORE-1,Electricity,Electricity infrastructure,6660000,2025-07-27,2026-02-09,2026-01-21,V026962,Completed
P00071578,MP0033,Telangana,NIZAMABAD-5,Public Infrastructure,Public building construction,5500000,2025-04-28,2025-11-21,,V014427,Ongoing
P00071579,MP0096,Maharashtra,PUNE-3,Agriculture,Agricultural storage facility,1420000,2025-03-28,2025-07-31,2025-07-10,V022974,Completed
P00071580,MP0100,Maharashtra,NASHIK-5,Healthcare,Community health facility,2590000,2025-08-01,2026-01-05,2025-12-21,V040448,Completed
P00071581,MP0042,Maharashtra,SOLAPUR-3,Healthcare,Primary health centre development,570000,2025-08-09,2025-11-18,2025-11-13,V010970,Completed
P00071582,MP0059,Uttar Pradesh,AGRA-4,Road,Internal road development,9910000,2025-08-09,2026-01-31,2026-07-22,V006799,Completed
P00071583,MP0036,Gujarat,RAJKOT-1,Electricity,Solar lighting installation,6720000,2025-07-04,2025-11-30,,V040739,Ongoing
P00071584,MP0034,Karnataka,BALLARI-5,Sports,Sports ground development,5040000,2025-04-22,2025-08-28,2025-08-08,V009811,Completed
P00071585,MP0002,Bihar,GAYA-1,Sports,Playground construction,8850000,2025-02-20,2025-06-12,2025-05-20,V002045,Completed
P00071586,MP0013,Uttar Pradesh,LUCKNOW-5,Education,Library construction,7770000,2025-07-24,2026-03-08,2026-08-11,V001720,Completed
P00071587,MP0043,Bihar,PATNA-2,Road,Village road construction,3740000,2025-05-16,2025-08-23,,V030011,Ongoing
P00071588,MP0074,Maharashtra,LATUR-4,Public Infrastructure,Public facility improvement,7840000,2025-02-11,2025-06-18,2025-05-28,V025542,Completed
P00071589,MP0057,West Bengal,SILIGURI-2,Healthcare,Medical equipment purchase,9400000,2025-03-28,2025-10-19,2026-01-10,V040939,Delayed
P00071590,MP0007,Bihar,BHAGALPUR-5,Road,Village road construction,3920000,2025-07-16,2026-03-28,,V007206,Ongoing
P00071591,MP0059,Uttar Pradesh,AGRA-4,Water Supply,Pipeline installation,9980000,2025-07-14,2025-12-29,2025-12-20,V023914,Completed
P00071592,MP0059,Uttar Pradesh,AGRA-4,Public Infrastructure,Infrastructure development,1780000,2025-08-14,2025-12-07,2025-11-23,V021084,Completed
P00071593,MP0051,Rajasthan,JAIPUR-5,Water Supply,Pipeline installation,1700000,2025-08-19,2026-01-13,2025-12-15,V023812,Completed
P00071594,MP0003,Tamil Nadu,CHENNAI-5,Sports,Sports ground development,4960000,2025-04-12,2025-10-18,2025-09-21,V022820,Completed
P00071595,MP0027,Bihar,MUZAFFARPUR-5,Electricity,Solar lighting installation,7680000,2025-05-13,2025-12-13,,V009897,Ongoing
P00071596,MP0078,Karnataka,BENGALURU-2,Sanitation,Community toilet construction,9990000,2025-05-13,2025-08-31,2026-01-02,V016463,Completed
P00071597,MP0054,Karnataka,BELAGAVI-3,Water Supply,Water supply improvement,5750000,2025-08-11,2026-04-26,2026-04-05,V028357,Completed
P00071598,MP0094,Madhya Pradesh,UJJAIN-4,Education,School laboratory development,2090000,2025-03-01,2025-10-08,2025-09-09,V032649,Completed
P00071599,MP0064,Telangana,WARANGAL-1,Education,Library construction,9610000,2025-08-11,2026-02-22,2026-02-08,V046296,Completed
P00071600,MP0034,Karnataka,BALLARI-5,Education,Library construction,5120000,2025-05-25,2025-10-17,,V039349,Ongoing
P00071601,MP0023,Bihar,PATNA-3,Education,Library construction,3130000,2025-05-20,2026-01-16,2025-12-26,V034678,Completed
P00071602,MP0048,Bihar,AURANGABAD-4,Road,Village road construction,3290000,2025-07-01,2026-01-21,,V017546,Ongoing
P00071603,MP0055,Tamil Nadu,MADURAI-3,Sanitation,Sanitation infrastructure,2720000,2025-07-26,2026-03-30,2026-03-22,V005542,Completed
P00071604,MP0017,Uttar Pradesh,AGRA-4,Electricity,Street lighting installation,980000,2025-03-07,2025-10-17,2025-10-09,V015390,Completed
P00071605,MP0079,West Bengal,KOLKATA-5,Public Infrastructure,Public building construction,7300000,2025-07-19,2025-12-17,2025-11-21,V038831,Completed
P00071606,MP0062,Bihar,GAYA-5,Sanitation,Waste management facility,3560000,2025-08-26,2026-01-16,2026-01-11,V019505,Completed
P00071607,MP0061,Uttar Pradesh,AGRA-1,Sports,Sports ground development,7280000,2025-08-21,2025-11-28,2025-11-05,V048304,Completed
P00071608,MP0061,Uttar Pradesh,AGRA-1,Public Infrastructure,Public building construction,4900000,2025-01-08,2025-06-06,,V022773,Ongoing
P00071609,MP0044,Karnataka,BELAGAVI-4,Agriculture,Agricultural storage facility,1050000,2025-08-09,2026-04-04,2026-03-27,V002626,Completed
P00071610,MP0071,Tamil Nadu,SALEM-2,Water Supply,Drinking water facility,9330000,2025-07-18,2026-01-12,2025-12-29,V002606,Completed
P00071611,MP0003,Tamil Nadu,CHENNAI-5,Road,Internal road development,7760000,2025-02-22,2025-09-21,2025-09-12,V022077,Completed
P00071612,MP0073,Tamil Nadu,CHENNAI-3,Healthcare,Primary health centre development,1000000,2025-04-25,2025-12-27,2025-12-06,V001142,Completed
P00071613,MP0067,Gujarat,RAJKOT-4,Sanitation,Community toilet construction,8900000,2025-01-25,2025-10-05,2025-09-29,V005209,Completed
P00071614,MP0099,Karnataka,BALLARI-2,Healthcare,Community health facility,1310000,2025-07-13,2026-01-21,,V025376,Ongoing
P00071615,MP0008,Maharashtra,NANDED-4,Agriculture,Irrigation development,8130000,2025-04-09,2025-10-31,2025-10-27,V037791,Completed
P00071616,MP0026,Telangana,WARANGAL-3,Education,School infrastructure improvement,5560000,2025-05-28,2025-10-19,2025-10-04,V043825,Completed
P00071617,MP0015,Karnataka,BELAGAVI-2,Agriculture,Farmer support infrastructure,8310000,2025-04-09,2025-12-09,,V008687,Ongoing
P00071618,MP0005,Bihar,MUZAFFARPUR-5,Public Infrastructure,Infrastructure development,5640000,2025-02-25,2025-07-14,2025-07-11,V040905,Completed
P00071619,MP0013,Uttar Pradesh,LUCKNOW-5,Public Infrastructure,Infrastructure development,5480000,2025-03-26,2025-12-07,2025-12-03,V008836,Completed
P00071620,MP0079,West Bengal,KOLKATA-5,Healthcare,Medical equipment purchase,7730000,2025-03-02,2025-11-27,2025-11-12,V027224,Completed
P00071621,MP0012,Maharashtra,SATARA-5,Community Development,Public facility development,4210000,2025-05-25,2025-11-03,,V011215,Ongoing
P00071622,MP0099,Karnataka,BALLARI-2,Healthcare,Medical equipment purchase,4420000,2025-03-10,2025-07-16,2025-06-18,V043380,Completed
P00071623,MP0063,Gujarat,RAJKOT-2,Community Development,Public facility development,5520000,2025-01-05,2025-04-18,,V044577,Ongoing
P00071624,MP0008,Maharashtra,NANDED-4,Sanitation,Drainage improvement,1440000,2025-01-12,2025-05-13,2025-05-09,V042196,Completed
P00071625,MP0074,Maharashtra,LATUR-4,Road,Road repair and improvement,710000,2025-08-04,2026-02-26,2026-02-11,V005967,Completed
P00071626,MP0034,Karnataka,BALLARI-5,Sports,Sports ground development,7610000,2025-07-06,2025-11-03,2025-10-24,V044648,Completed
P00071627,MP0072,Madhya Pradesh,INDORE-1,Education,School infrastructure improvement,3980000,2025-08-18,2026-04-17,2026-08-04,V015988,Delayed
P00071628,MP0022,Tamil Nadu,MADURAI-3,Public Infrastructure,Public facility improvement,6970000,2025-08-18,2025-12-15,2025-11-21,V048079,Completed
P00071629,MP0050,Karnataka,HUBBALLI-2,Agriculture,Agricultural storage facility,3210000,2025-07-10,2026-04-01,2026-03-11,V002741,Completed
P00071630,MP0012,Maharashtra,SATARA-5,Community Development,Village development work,5010000,2025-08-07,2025-12-10,2025-11-24,V030900,Completed
P00071631,MP0022,Tamil Nadu,MADURAI-3,Road,Village road construction,9840000,2025-07-25,2026-03-01,,V019641,Ongoing
P00071632,MP0091,Madhya Pradesh,BHOPAL-1,Water Supply,Pipeline installation,4280000,2025-04-25,2025-07-28,,V022003,Ongoing
P00071633,MP0058,Uttar Pradesh,KANPUR-1,Community Development,Community hall construction,3300000,2025-02-05,2025-06-28,,V032001,Ongoing
P00071634,MP0082,Rajasthan,JODHPUR-3,Road,Internal road development,1670000,2025-07-17,2025-12-28,2025-12-10,V028344,Completed
P00071635,MP0019,Bihar,AURANGABAD-1,Public Infrastructure,Public facility improvement,7580000,2025-02-22,2025-11-04,2025-10-29,V031268,Completed
P00071636,MP0005,Bihar,MUZAFFARPUR-5,Sports,Sports ground development,4490000,2025-08-08,2026-02-14,2026-01-31,V011337,Completed
P00071637,MP0016,Karnataka,KALABURAGI-2,Sanitation,Drainage improvement,700000,2025-06-30,2026-03-13,2026-02-24,V030645,Completed
P00071638,MP0041,Maharashtra,LATUR-3,Community Development,Community hall construction,4730000,2025-02-03,2025-05-12,2025-04-18,V043217,Completed
P00071639,MP0074,Maharashtra,LATUR-4,Road,Internal road development,7680000,2025-07-15,2026-01-23,2026-01-17,V032934,Completed
P00071640,MP0019,Bihar,AURANGABAD-1,Healthcare,Medical equipment purchase,2100000,2025-07-14,2025-10-20,2025-10-11,V007007,Completed
P00071641,MP0065,Tamil Nadu,CHENNAI-1,Community Development,Village development work,8470000,2025-03-01,2025-10-13,2025-10-05,V034872,Completed
P00071642,MP0022,Tamil Nadu,MADURAI-3,Agriculture,Irrigation development,4920000,2025-02-02,2025-10-24,2025-10-16,V040680,Completed
P00071643,MP0017,Uttar Pradesh,AGRA-4,Healthcare,Primary health centre development,6340000,2025-04-04,2025-12-10,2025-12-05,V020860,Completed
P00071644,MP0035,Rajasthan,JAIPUR-3,Education,Library construction,1950000,2025-04-25,2025-11-16,2025-11-03,V035817,Completed
P00071645,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Sanitation,Community toilet construction,9440000,2025-02-12,2025-07-21,2025-07-04,V020856,Completed
P00071646,MP0073,Tamil Nadu,CHENNAI-3,Healthcare,Medical equipment purchase,1710000,2025-05-03,2025-11-21,2025-11-11,V032584,Completed
P00071647,MP0055,Tamil Nadu,MADURAI-3,Road,Internal road development,7910000,2025-04-06,2025-07-14,2025-06-19,V003825,Completed
P00071648,MP0005,Bihar,MUZAFFARPUR-5,Road,Village road construction,5040000,2025-07-08,2026-02-19,,V031771,Ongoing
P00071649,MP0073,Tamil Nadu,CHENNAI-3,Road,Road repair and improvement,3460000,2025-01-18,2025-10-12,2025-09-20,V015582,Completed
P00071650,MP0011,Rajasthan,KOTA-5,Water Supply,Drinking water facility,6350000,2025-05-30,2025-09-22,2025-08-27,V040658,Completed
P00071651,MP0078,Karnataka,BENGALURU-2,Sports,Sports ground development,6520000,2025-08-21,2026-04-22,2026-03-30,V025736,Completed
P00071652,MP0040,Rajasthan,JODHPUR-5,Community Development,Community hall construction,5820000,2025-01-10,2025-05-13,2025-09-19,V023102,Delayed
P00071653,MP0088,Madhya Pradesh,INDORE-4,Agriculture,Farmer support infrastructure,7090000,2025-04-18,2025-08-27,2025-08-03,V032401,Completed
P00071654,MP0084,Karnataka,BELAGAVI-4,Healthcare,Primary health centre development,2640000,2025-05-09,2025-12-06,,V003003,Ongoing
P00071655,MP0097,Madhya Pradesh,INDORE-4,Sports,Playground construction,1140000,2025-06-29,2026-03-05,,V007210,Ongoing
P00071656,MP0004,Maharashtra,PUNE-1,Agriculture,Irrigation development,7160000,2025-05-11,2025-11-28,2025-11-10,V049911,Completed
P00071657,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Community Development,Village development work,6350000,2025-08-09,2025-11-11,2025-10-17,V002064,Completed
P00071658,MP0089,Madhya Pradesh,UJJAIN-5,Community Development,Public facility development,7190000,2025-03-02,2025-09-05,2025-08-11,V022247,Completed
P00071659,MP0058,Uttar Pradesh,KANPUR-1,Agriculture,Farmer support infrastructure,6960000,2025-01-30,2025-06-22,,V031386,Ongoing
P00071660,MP0065,Tamil Nadu,CHENNAI-1,Road,Internal road development,1450000,2025-03-24,2025-07-21,2025-07-05,V029078,Completed
P00071661,MP0088,Madhya Pradesh,INDORE-4,Electricity,Electricity infrastructure,620000,2025-02-10,2025-08-16,,V041689,Ongoing
P00071662,MP0064,Telangana,WARANGAL-1,Community Development,Public facility development,9480000,2025-05-09,2025-09-29,2025-09-26,V031584,Completed
P00071663,MP0067,Gujarat,RAJKOT-4,Education,School classroom construction,8080000,2025-06-19,2025-11-14,2025-11-08,V045215,Completed
P00071664,MP0096,Maharashtra,PUNE-3,Sanitation,Drainage improvement,3670000,2025-05-06,2025-09-17,2025-08-29,V034132,Completed
P00071665,MP0034,Karnataka,BALLARI-5,Community Development,Village development work,7300000,2025-06-04,2025-09-05,2025-08-20,V028100,Completed
P00071666,MP0089,Madhya Pradesh,UJJAIN-5,Education,School laboratory development,5100000,2025-03-22,2025-12-01,,V002276,Ongoing
P00071667,MP0058,Uttar Pradesh,KANPUR-1,Electricity,Street lighting installation,620000,2025-08-04,2026-03-23,,V039305,Ongoing
P00071668,MP0067,Gujarat,RAJKOT-4,Public Infrastructure,Public facility improvement,8450000,2025-08-03,2026-01-08,,V044071,Ongoing
P00071669,MP0007,Bihar,BHAGALPUR-5,Healthcare,Health centre infrastructure,7170000,2025-04-11,2025-09-20,2025-08-21,V014240,Completed
P00071670,MP0035,Rajasthan,JAIPUR-3,Healthcare,Medical equipment purchase,1000000,2025-08-02,2026-01-13,,V016119,Ongoing
P00071671,MP0029,Rajasthan,JODHPUR-2,Electricity,Solar lighting installation,1100000,2025-04-04,2025-09-28,2025-09-26,V022556,Completed
P00071672,MP0025,Rajasthan,JODHPUR-4,Public Infrastructure,Public building construction,4660000,2025-06-21,2026-02-04,,V012716,Ongoing
P00071673,MP0028,West Bengal,SILIGURI-5,Community Development,Community hall construction,7830000,2025-06-29,2026-02-14,,V026452,Ongoing
P00071674,MP0088,Madhya Pradesh,INDORE-4,Water Supply,Pipeline installation,6650000,2025-08-08,2026-02-13,2026-01-27,V042030,Completed
P00071675,MP0069,Uttar Pradesh,LUCKNOW-4,Public Infrastructure,Public facility improvement,5420000,2025-07-08,2025-12-30,,V006065,Ongoing
P00071676,MP0027,Bihar,MUZAFFARPUR-5,Water Supply,Water supply improvement,8460000,2025-05-17,2026-01-07,2025-12-27,V043862,Completed
P00071677,MP0074,Maharashtra,LATUR-4,Electricity,Electricity infrastructure,3230000,2025-01-21,2025-08-05,2025-07-30,V004644,Completed
P00071678,MP0076,Karnataka,KALABURAGI-2,Electricity,Street lighting installation,1700000,2025-06-30,2025-12-10,2025-11-23,V039078,Completed
P00071679,MP0082,Rajasthan,JODHPUR-3,Water Supply,Water supply improvement,7260000,2025-05-04,2026-01-20,2025-12-31,V036186,Completed
P00071680,MP0008,Maharashtra,NANDED-4,Water Supply,Pipeline installation,8390000,2025-06-06,2025-10-08,2025-09-23,V006341,Completed
P00071681,MP0038,Karnataka,KALABURAGI-3,Water Supply,Construction of water tank,8870000,2025-05-13,2025-09-14,,V045124,Ongoing
P00071682,MP0094,Madhya Pradesh,UJJAIN-4,Community Development,Village development work,9630000,2025-04-03,2025-11-08,,V017817,Ongoing
P00071683,MP0009,Madhya Pradesh,INDORE-2,Community Development,Public facility development,4430000,2025-08-02,2025-12-26,2025-11-27,V014448,Completed
P00071684,MP0043,Bihar,PATNA-2,Road,Village road construction,3760000,2025-05-15,2025-12-07,2025-11-25,V017915,Completed
P00071685,MP0025,Rajasthan,JODHPUR-4,Sanitation,Waste management facility,5800000,2025-02-27,2025-07-16,2025-07-09,V012063,Completed
P00071686,MP0094,Madhya Pradesh,UJJAIN-4,Agriculture,Farmer support infrastructure,6690000,2025-04-06,2025-08-27,2025-08-26,V009385,Completed
P00071687,MP0066,Tamil Nadu,CHENNAI-1,Road,Road repair and improvement,7570000,2025-07-03,2025-12-02,,V007755,Ongoing
P00071688,MP0017,Uttar Pradesh,AGRA-4,Sports,Community sports facility,4540000,2025-08-22,2025-12-18,,V032332,Ongoing
P00071689,MP0007,Bihar,BHAGALPUR-5,Education,School classroom construction,9770000,2025-07-25,2026-01-10,,V031946,Ongoing
P00071690,MP0022,Tamil Nadu,MADURAI-3,Sanitation,Waste management facility,4180000,2025-03-30,2025-07-07,2025-07-05,V038577,Completed
P00071691,MP0010,Karnataka,BELAGAVI-4,Sanitation,Community toilet construction,3620000,2025-08-22,2026-02-11,2026-02-01,V006072,Completed
P00071692,MP0090,Tamil Nadu,COIMBATORE-1,Agriculture,Agricultural storage facility,4920000,2025-03-21,2025-11-21,2025-11-02,V004244,Completed
P00071693,MP0013,Uttar Pradesh,LUCKNOW-5,Sanitation,Waste management facility,9570000,2025-03-12,2025-08-06,,V006267,Ongoing
P00071694,MP0042,Maharashtra,SOLAPUR-3,Sports,Community sports facility,6490000,2025-07-14,2025-10-19,2025-10-14,V012068,Completed
P00071695,MP0028,West Bengal,SILIGURI-5,Electricity,Street lighting installation,7040000,2025-01-15,2025-07-08,2025-06-28,V001393,Completed
P00071696,MP0100,Maharashtra,NASHIK-5,Public Infrastructure,Public facility improvement,6590000,2025-01-22,2025-07-25,2025-11-17,V005017,Delayed
P00071697,MP0059,Uttar Pradesh,AGRA-4,Road,Rural connectivity road,4740000,2025-04-06,2025-10-07,2025-10-04,V005468,Completed
P00071698,MP0011,Rajasthan,KOTA-5,Sanitation,Drainage improvement,1590000,2025-08-21,2025-12-06,2025-11-20,V034529,Completed
P00071699,MP0009,Madhya Pradesh,INDORE-2,Community Development,Community hall construction,3290000,2025-02-07,2025-06-27,2025-06-19,V019581,Completed
P00071700,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Education,School laboratory development,1620000,2025-01-11,2025-05-26,,V005919,Ongoing
P00071701,MP0081,Rajasthan,KOTA-2,Community Development,Public facility development,2130000,2025-05-20,2025-12-04,2025-11-27,V033929,Completed
P00071702,MP0055,Tamil Nadu,MADURAI-3,Public Infrastructure,Infrastructure development,9260000,2025-08-11,2025-12-25,2025-11-25,V017141,Completed
P00071703,MP0005,Bihar,MUZAFFARPUR-5,Community Development,Public facility development,2500000,2025-02-10,2025-09-13,2025-09-10,V039185,Completed
P00071704,MP0069,Uttar Pradesh,LUCKNOW-4,Education,School infrastructure improvement,1350000,2025-01-01,2025-07-08,2025-06-25,V036364,Completed
P00071705,MP0038,Karnataka,KALABURAGI-3,Sanitation,Community toilet construction,7980000,2025-04-17,2025-09-26,,V016099,Ongoing
P00071706,MP0095,Maharashtra,SOLAPUR-4,Education,Library construction,3870000,2025-05-23,2025-12-16,2025-11-28,V003487,Completed
P00071707,MP0066,Tamil Nadu,CHENNAI-1,Healthcare,Primary health centre development,2460000,2025-07-03,2026-02-06,2026-01-09,V019219,Completed
P00071708,MP0091,Madhya Pradesh,BHOPAL-1,Agriculture,Agricultural storage facility,2490000,2025-04-29,2025-11-30,,V049711,Ongoing
P00071709,MP0083,Gujarat,VADODARA-4,Water Supply,Pipeline installation,7170000,2025-02-25,2025-08-22,2025-08-15,V029388,Completed
P00071710,MP0064,Telangana,WARANGAL-1,Water Supply,Construction of water tank,4630000,2025-03-03,2025-08-10,2025-07-14,V048284,Completed
P00071711,MP0025,Rajasthan,JODHPUR-4,Road,Rural connectivity road,1920000,2025-03-22,2025-09-07,2025-08-29,V020652,Completed
P00071712,MP0052,Bihar,MUZAFFARPUR-2,Sports,Sports ground development,9600000,2025-07-08,2026-02-24,,V014971,Ongoing
P00071713,MP0038,Karnataka,KALABURAGI-3,Agriculture,Irrigation development,1380000,2025-05-22,2025-11-12,2025-10-25,V049421,Completed
P00071714,MP0077,West Bengal,KOLKATA-2,Sanitation,Community toilet construction,4450000,2025-07-17,2025-11-19,2025-10-24,V046415,Completed
P00071715,MP0093,West Bengal,HOWRAH-3,Community Development,Village development work,8990000,2025-07-15,2026-01-17,2026-01-01,V040539,Completed
P00071716,MP0019,Bihar,AURANGABAD-1,Electricity,Electricity infrastructure,2880000,2025-04-22,2025-10-18,2025-09-23,V016185,Completed
P00071717,MP0099,Karnataka,BALLARI-2,Healthcare,Community health facility,7310000,2025-02-08,2025-09-24,2025-08-25,V011387,Completed
P00071718,MP0025,Rajasthan,JODHPUR-4,Sanitation,Waste management facility,5550000,2025-02-15,2025-09-23,2025-09-21,V040195,Completed
P00071719,MP0048,Bihar,AURANGABAD-4,Community Development,Village development work,5760000,2025-07-28,2025-12-12,2025-11-15,V046949,Completed
P00071720,MP0073,Tamil Nadu,CHENNAI-3,Sports,Playground construction,1640000,2025-02-05,2025-06-07,2025-05-18,V017465,Completed
P00071721,MP0061,Uttar Pradesh,AGRA-1,Public Infrastructure,Public building construction,940000,2025-04-12,2025-11-14,2025-10-17,V038807,Completed
P00071722,MP0035,Rajasthan,JAIPUR-3,Sports,Sports ground development,9660000,2025-08-10,2026-01-18,2026-01-02,V036473,Completed
P00071723,MP0051,Rajasthan,JAIPUR-5,Water Supply,Pipeline installation,7400000,2025-01-03,2025-05-25,,V044466,Ongoing
P00071724,MP0015,Karnataka,BELAGAVI-2,Public Infrastructure,Infrastructure development,7750000,2025-06-21,2025-10-06,2025-09-30,V046930,Completed
P00071725,MP0086,Bihar,MUZAFFARPUR-3,Public Infrastructure,Public facility improvement,6830000,2025-07-18,2025-12-11,2025-11-19,V004819,Completed
P00071726,MP0077,West Bengal,KOLKATA-2,Public Infrastructure,Public building construction,960000,2025-08-22,2026-04-21,2026-04-16,V028048,Completed
P00071727,MP0049,Rajasthan,AJMER-5,Road,Rural connectivity road,8450000,2025-01-27,2025-09-22,2025-08-26,V015484,Completed
P00071728,MP0030,Telangana,HYDERABAD-1,Road,Rural connectivity road,2820000,2025-04-03,2025-10-30,2025-10-22,V039036,Completed
P00071729,MP0021,Telangana,KARIMNAGAR-3,Education,School laboratory development,2270000,2025-08-06,2025-12-31,2025-12-26,V049223,Completed
P00071730,MP0089,Madhya Pradesh,UJJAIN-5,Road,Rural connectivity road,5710000,2025-02-17,2025-05-18,2025-05-14,V003712,Completed
P00071731,MP0089,Madhya Pradesh,UJJAIN-5,Sports,Playground construction,9540000,2025-06-15,2026-03-07,2026-03-05,V043717,Completed
P00071732,MP0086,Bihar,MUZAFFARPUR-3,Agriculture,Agricultural storage facility,5190000,2025-01-05,2025-08-02,2025-07-21,V011648,Completed
P00071733,MP0041,Maharashtra,LATUR-3,Public Infrastructure,Public facility improvement,9100000,2025-07-07,2026-02-09,2026-07-02,V028143,Completed
P00071734,MP0003,Tamil Nadu,CHENNAI-5,Sanitation,Community toilet construction,7540000,2025-03-16,2025-08-16,2025-07-28,V005773,Completed
P00071735,MP0073,Tamil Nadu,CHENNAI-3,Public Infrastructure,Public facility improvement,940000,2025-03-20,2025-07-20,,V045472,Ongoing
P00071736,MP0024,Madhya Pradesh,BHOPAL-2,Water Supply,Water supply improvement,7110000,2025-05-30,2026-02-23,2026-01-27,V003434,Completed
P00071737,MP0096,Maharashtra,PUNE-3,Community Development,Public facility development,5810000,2025-06-27,2025-11-11,2025-10-26,V048723,Completed
P00071738,MP0017,Uttar Pradesh,AGRA-4,Public Infrastructure,Public facility improvement,9480000,2025-08-15,2026-05-10,,V049473,Ongoing
P00071739,MP0088,Madhya Pradesh,INDORE-4,Education,School infrastructure improvement,3150000,2025-04-26,2026-01-21,2026-01-03,V013433,Completed
P00071740,MP0008,Maharashtra,NANDED-4,Agriculture,Farmer support infrastructure,5960000,2025-03-06,2025-11-24,2025-11-19,V030152,Completed
P00071741,MP0006,Tamil Nadu,MADURAI-5,Healthcare,Medical equipment purchase,4840000,2025-04-04,2025-08-22,2025-08-17,V036881,Completed
P00071742,MP0009,Madhya Pradesh,INDORE-2,Electricity,Street lighting installation,5010000,2025-06-23,2026-01-22,2025-12-23,V029765,Completed
P00071743,MP0015,Karnataka,BELAGAVI-2,Education,Library construction,5350000,2025-06-25,2025-12-21,2025-11-30,V015162,Completed
P00071744,MP0064,Telangana,WARANGAL-1,Community Development,Public facility development,7370000,2025-01-24,2025-05-10,,V035212,Ongoing
P00071745,MP0088,Madhya Pradesh,INDORE-4,Public Infrastructure,Public facility improvement,3120000,2025-02-20,2025-07-21,,V012840,Ongoing
P00071746,MP0050,Karnataka,HUBBALLI-2,Water Supply,Construction of water tank,6240000,2025-01-11,2025-06-14,2025-06-13,V031557,Completed
P00071747,MP0011,Rajasthan,KOTA-5,Sports,Playground construction,8220000,2025-07-08,2026-02-26,2026-01-27,V042322,Completed
P00071748,MP0095,Maharashtra,SOLAPUR-4,Water Supply,Drinking water facility,9520000,2025-03-25,2025-09-30,2025-09-27,V004654,Completed
P00071749,MP0046,Telangana,WARANGAL-3,Road,Rural connectivity road,5160000,2025-07-26,2026-03-26,2026-03-15,V036230,Completed
P00071750,MP0045,Tamil Nadu,MADURAI-2,Sports,Sports ground development,3980000,2025-06-06,2025-11-10,,V005481,Ongoing
